split	ix_in_split	theorem_id	theorem_title
valid	860	10171	Composite Number has Prime Factor
test	123	12069	Existence of Prime-Free Sequence of Natural Numbers
test	472	677	Condition for Divisibility of Powers of Prime
test	388	4545	Null Measure is Measure
valid	141	10717	Sum of Integrals on Complementary Sets
valid	1000	4531	Co-Countable Measure is Probability Measure
valid	1015	1830	Borel-Cantelli Lemma
test	998	4749	Pointwise Minimum of Measurable Functions is Measurable
valid	33	10758	Cube Root of 2 is Irrational
valid	162	13034	Positive Integer is Sum of Consecutive Positive Integers iff not Power of 2
valid	729	8645	Divisor of Product may not be Divisor of Factors
test	820	649	Divisor of Sum of Coprime Integers
test	615	1023	Lines are Subspaces of Plane
test	1104	3724	Zero Vector is Linearly Dependent
test	356	2525	Integration on Polynomials is Linear Operator
valid	615	13851	Real Symmetric Matrix is Hermitian
valid	587	987	Complex Numbers form Vector Space over Reals
valid	709	4523	Homogeneous System has Zero Vector as Solution
valid	50	17046	Existence of Real Polynomial with no Real Root
valid	771	11245	Equivalence of Definitions of Minimal Element
test	468	11244	Equivalence of Definitions of Maximal Element
valid	1101	4899	Maximal Element need not be Greatest Element
test	336	7481	Restriction to Subset of Strict Total Ordering is Strict Total Ordering
valid	11	13162	Pythagorean Triangle from Fibonacci Numbers
valid	899	15691	Approximation to 2n Choose n
valid	367	12906	Simple Graph with Finite Vertex Set is Finite
test	762	1780	Cycle does not Contain Subcycles
valid	579	16488	General Morphism Property for Groups
test	464	2637	Product with Inverse equals Identity iff Equality
test	897	741	Existence of Unique Subgroup Generated by Subset
valid	264	19082	Cauchy Sequence in Metric Space is not necessarily Convergent
valid	490	10661	Empty Set is Open and Closed in Metric Space
test	239	10529	Positive Multiple of Metric is Metric
valid	992	15208	Metric Space is Perfectly Normal
valid	184	17316	Even Integers form Commutative Ring
test	7	612	Non-Zero Integers are Cancellable for Multiplication
test	665	19686	Set of Positive Integers does not form Ring
valid	233	14827	Exchange of Order of Indexed Summations/Rectangular Domain
valid	484	14832	Sum over Union of Finite Sets
valid	489	4429	Subset of Natural Numbers under Max Operation is Monoid
valid	567	9037	Natural Numbers form Inductive Set
valid	799	11249	Non-Zero Natural Numbers under Addition form Semigroup
test	227	8325	Non-Zero Natural Numbers under Multiplication form Commutative Monoid
test	604	18638	Natural Number is not Subset of its Union
test	1120	18641	Natural Number is Union of its Successor
valid	54	17930	Singleton of Subset is Element of Powerset of Powerset
test	286	277	Set is Equivalent to Proper Subset of Power Set
test	377	11247	Power Set less Empty Set has no Smallest Element iff not Singleton
test	743	18589	Set is Subset of Power Set of Union
test	773	4152	Union of Elements of Power Set
test	957	18626	Power Set of Transitive Set is Transitive
valid	498	11063	Cosine is Reciprocal of Secant
valid	608	11067	Cosine in terms of Sine
test	47	17563	Set of Strictly Positive Real Numbers has no Smallest Element
test	637	11097	Real Power of Strictly Positive Real Number is Strictly Positive
valid	575	11136	Lindelöf's Lemma
valid	808	16576	Minimum Rule for Real Sequences
valid	996	10638	Limit of Image of Sequence/Real Number Line
valid	827	1206	Negative of Supremum is Infimum of Negatives
test	308	6569	Odd Power Function is Strictly Increasing/Real Numbers
test	246	11060	Sine in terms of Tangent
valid	267	1040	Similar Matrices are Equivalent
valid	705	3685	Ring of Square Matrices over Real Numbers
test	77	8648	Trace of Unit Matrix
valid	461	7541	Generating Function for Powers of Two
valid	1094	16021	Linear Combination of Generating Functions
valid	356	1558	Power Function is Completely Multiplicative
test	512	487	Smallest Field is Field
test	651	3692	Multiplicative Identity is Unique
test	746	19495	Zero of Field is Unique
test	27	1598	Existence of Local Coordinates
test	564	6142	Empty Set Satisfies Topology Axioms
valid	14	8954	Finite Union of Open Sets in Complex Plane is Open
valid	596	8955	Limit Point of Set in Complex Plane not Element is Boundary Point
test	82	8953	Complement of Open Set in Complex Plane is Closed
valid	138	878	Fixed Elements form 1-Cycles
valid	80	14210	Fourth Power of 11 is Palindromic
valid	1024	1891	Sophie Germain's Identity
test	93	17028	Difference of Two Fourth Powers
valid	91	673	GCD from Congruence Modulo m
valid	612	17727	Cube Modulo 9
valid	524	15463	Definite Integral of Constant Multiple of Real Function
test	44	10536	L1 Metric on Closed Real Interval is Metric
valid	251	2239	Dominance Relation is Ordering
valid	766	7013	Set of Subsets is Cover iff Set of Complements is Free
test	1060	7347	Cardinality of Finite Set is Well-Defined
valid	719	7382	Integral Domain is Reduced Ring
valid	834	17267	Ring Subtraction equals Zero iff Elements are Equal
valid	1098	17456	Subtraction of Subring is Subtraction of Ring
test	109	8211	Categories of Elements of Ring
valid	933	10252	Restriction of Homeomorphism is Homeomorphism
test	373	2790	Completely Normal Space is Preserved under Homeomorphism
valid	572	10833	Real Numbers under Multiplication do not form Group
test	498	16082	Product of Negative Real Numbers is Positive
valid	650	3339	Compact Complement Topology is Connected
test	1058	3323	Countable Complement Space is Connected
test	612	19642	Number of Permutations with Repetition
valid	381	5951	Open Real Interval is not Closed Set/Corollary
valid	715	10489	Intersection of Closed Intervals of Positive Reals is Zero
test	1089	10480	Open Real Interval is Subset of Closed Real Interval
test	1054	1236	Condition for Continuity on Interval
valid	633	12917	Symmetric Closure of Symmetric Relation
test	1068	2220	Diagonal Relation is Many-to-One
valid	474	8007	Secant of Complement equals Cosecant
